Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.840000152587891,5.90500020980835,5.75,5.760000228881836,5.3832197189331055,3439023
2019-01-03,5.75,5.840000152587891,5.699999809265137,5.739999771118164,5.364528179168701,3122836
2019-01-04,5.650000095367432,5.71999979019165,5.539999961853027,5.690000057220459,5.317799091339111,4405253
2019-01-07,5.670000076293945,5.829999923706055,5.659999847412109,5.789999961853027,5.411257266998291,2960672
2019-01-08,5.820000171661377,5.909999847412109,5.78000020980835,5.900000095367432,5.514062404632568,4807112
2019-01-09,5.940000057220459,6.130000114440918,5.900000095367432,6.110000133514404,5.710324764251709,8926783
2019-01-10,6.059999942779541,6.085000038146973,5.989999771118164,6.070000171661377,5.6729416847229,10143903
2019-01-11,6.019999980926514,6.050000190734863,5.889999866485596,5.909999847412109,5.523407459259033,5764791
2019-01-14,5.900000095367432,5.980000019073486,5.864999771118164,5.920000076293945,5.532753944396973,3313493
2019-01-15,5.900000095367432,5.96999979019165,5.900000095367432,5.960000038146973,5.5701375007629395,4028139
2019-01-16,5.909999847412109,6.010000228881836,5.860000133514404,6.0,5.607520580291748,4934951
2019-01-17,6.050000190734863,6.079999923706055,5.989999771118164,6.050000190734863,5.654250144958496,2999024
2019-01-18,6.050000190734863,6.15500020980835,6.050000190734863,6.150000095367432,5.747708797454834,3494462
2019-01-21,6.150000095367432,6.179999828338623,6.070000171661377,6.079999923706055,5.682287693023682,3114122
2019-01-22,6.079999923706055,6.170000076293945,6.070000171661377,6.119999885559082,5.719671249389648,2498670
2019-01-23,6.150000095367432,6.230000019073486,6.099999904632568,6.119999885559082,5.719671249389648,4950215
2019-01-24,6.099999904632568,6.119999885559082,5.980000019073486,6.119999885559082,5.719671249389648,4601396
2019-01-25,6.110000133514404,6.119999885559082,5.960000038146973,5.989999771118164,5.598174571990967,5710876
2019-01-29,5.949999809265137,5.949999809265137,5.860000133514404,5.889999866485596,5.504715919494629,4647293
2019-01-30,5.599999904632568,5.630000114440918,5.550000190734863,5.590000152587891,5.224340438842773,15180415
2019-01-31,5.5,5.550000190734863,5.425000190734863,5.440000057220459,5.084151744842529,24868590
2019-02-01,5.440000057220459,5.46999979019165,5.304999828338623,5.320000171661377,4.972002029418945,7875895
2019-02-04,5.360000133514404,5.425000190734863,5.324999809265137,5.400000095367432,5.046768665313721,7534660
2019-02-05,5.420000076293945,5.480000019073486,5.380000114440918,5.409999847412109,5.056114196777344,14042252
2019-02-06,5.46999979019165,5.635000228881836,5.449999809265137,5.630000114440918,5.261723518371582,7999793
